Хостинг,Статус,Значение риска proxycheck.io (APIv3),Преимущества,Недостатки,Расположение хостинга,Расположение серверов,Минимальная цена
1Gbits,Не внушает доверия ,,,,,,
ServerMath,KYC,,,,,,
Melbicom,KYC,,,,,,
AnonRDP,«Грязный» IP серверов + Не внушает доверия: неприемлемые условия использования,,,,,,
Fort.pw,«Грязный» IP хостинга + нерабочий сайт,,,,,,
Rad Web Hosting,KYC,,,,,,
IndoVirtue,Может блокировать регистрацию через VPN,,,,,,
Namecheap,KYC,,,,,,
Mightweb,KYC,,,,,,
MeanServers,KYC,,,,,,
SecureDragon,KYC,,,,,,
WindowsVPSHost,KYC,,,,,,
AHnames,Ручная выдача серверов по запросу,,,,,,
ChunkHost,Нерабочий сайт,,,,,,
letbox,KYC,,,,,,
MadGenius,KYC,,,,,,
BreezeHost,KYC,,,,,,
TechRich,KYC,,,,,,
SafeAlps,Закрыт,,,,,,
CoinsHosting,KYC,,,,,,
MLNL.host (Millenial),KYC,,,,,,
JPStream,KYC,,,,,,
InternetBrothers,KYC,,,,,,
Kdatacenter,KYC,,,,,,
VpsHosting,KYC,,,,,,
Casbay,KYC,,,,,,
Mondoze,KYC,,,,,,
Wesbytes,KYC,,,,,,
IpTransit,Нерабочий сайт,,,,,,
ZappieHost,KYC,,,,,,
Web4Africa,KYC,,,,,,
telasera,KYC,,,,,,
Ccihosting,KYC,,,,,,
XorekCloud,Не внушает доверия ,,,,,,
h2.nexus,«Грязный» IP серверов,,,,,,
WAICORE,Нерабочий сайт,,,,,,
Serv.Host,«Грязный» IP серверов,,,,,,
BUQU,Нерабочий сайт,,,,,,
VPS-mart / DatabaseMart,KYC,,,,,,
@ZontHost_bot,«Грязный» IP серверов,,,,,,
aeza,"«Грязный» IP серверов, не внушает доверия",,,,,,
Yeezy Host,"Странный админ, ненадёжный хостинг",,,,,,
@mak1nt0sh_robot,OK для РФ,,,,,,
@BenderRdp_bot,«Грязный» IP серверов,,,,,,
HYPER.HOSTING,Имеет префикс RU,,,,,,
KernelHost,KYC,,,,,,
NetNexus,KYC,,,,,,
TopHost,KYC,,,,,,
MyNymBox,"«Грязный» IP хостинга. Ресселер хостингов DigitalOcean, Hetzner, и Linode. А также ресселер Contabo с очень дорогими тарифами.",,,,,,
AlexHost,KYC,,,,,,
SnowCore,"Минимальное пополнение- 20 евро, даже если заказ на меньшую сумму",,,,,,
Gigablits,Ресселер хостинга DigitalOcean,,,,,,
VPSBroker,KYC,,,,,,
SafeCloud,KYC,,,,,,
BrilliantHost,"Очень странный хостинг, который якобы даёт 2 месяца бесплатно за оплату криптовалютой, однако такая возможность доступна только через связь с поддержкой",,,,,,
LIMITEDHOST,«Грязный» IP серверов,,,,,,
IgniteHost,«Грязный» IP серверов + нерабочий сайт,,,,,,
MARSHALLHOST_BOT,«Грязный» IP серверов,,,,,,
ByteBay,"Нет ни сайта, ни телеграм-бота, ручная выдача",,,,,,
@centhost_bot,«Грязный» IP серверов,,,,,,
IT-GARAGE,Недавно ввели KYC при пополнении,,,,,,
Computeman,"«Грязный» IP хостинга, очень дорогие сервера",,,,,,
PRQ,Ручная выдача серверов по запросу,,,,,,
play2go,Не внушает доверия ,,,,,,
hostinux,Не внушает доверия ,,,,,,
@Midas_Hosting_bot ,«Грязный» IP серверов,,,,,,
MadHost,Не внушает доверия ,,,,,,
U1 HOST,Не внушает доверия ,,,,,,
Nuxt,Не внушает доверия ,,,,,,
Zhujikuai,KYC,,,,,,
Aurorix,Очень глючный хостинг,,,,,,
Hiddence,Не внушает доверия + очень дорогие сервера,,,,,,
defhost,Очень дорогие сервера + в альянсе,,,,,,
Strike,KYC,,,,,,
BRIDGE NETWORKS,KYC,,,,,,
Altawk,OK (Финляндия),,,,,,
Senko.Digital,"Не внушает доверия: строгие условия использования, нельзя поднимать VPN",,,,,,
Trivox,KYC,,,,,,
BTC Server,KYC,,,,,,
psb.hosting,Не внушает доверия: неприемлемые условия использования,,,,,,
ETHERNETSERVERS,KYC,,,,,,
LNVPS,«Грязный» IP серверов,,,,,,
@dhostVPS_bot,«Грязный» IP серверов,33,,,,,
QWINS,Не внушает доверия ,,,,,,
@yale_s_bot,Нельзя использовать VPN,,,,,,
Kyonix,"Нет ни сайта, ни телеграм-бота, ручная выдача",,,,,,
Koara,"Сервера в Германии, но хостинг явно РФ",,,,,,
HammerVM,KYC,,,,,,
VPS Hosting Service,KYC,,,,,,
DEDIMAX,KYC,,,,,,
Host.ag,KYC,,,,,,
Server Field,KYC,,,,,,
Coretek,«Грязный» IP серверов,,,,,,
MonoVM,«Грязный» IP серверов,,,,,,
SERVER9,KYC,,,,,,
kuroit,KYC,,,,,,
Link-Host,«Грязный» IP серверов,,,,,,
@dedikcc_bot,OK,,,,,,
NO ACK HOSTING,OK (альянс),,,,,,
rdp.monster,OK (альянс),,,,,,
Hostealo,KYC,,,,,,
VDSOK,IP Швейцарии определяется как RU,,,,,,
Moscow Server,OK для РФ,33,,,,,
@biil_robot,,33,,,,,
,,,,,,,
VDSina,"Минимальное пополнение- $20, даже если заказ на меньшую сумму",,,,,,
